,Name,Buy,Price,Sell,Last Rd %,L5 %,L10 %,Valuation
0,-,-,-,-,-,-,-,-
1,Ed_Curnow,5.65,4.89,4.13,-4.49,-49.69,-50.51,Very Underpriced
2,Josh_Bruce,5.75,5.0,4.25,-16.81,-38.5,-49.9,Very Underpriced
