,Name,Buy,Price,Sell,Last Rd %,L5 %,L10 %,Valuation
71,Jack_Newnes,6.02,5.28,4.54,15.28,-19.76,2.33,Underpriced
72,Liam_Jones,7.08,6.4,5.72,-1.39,26.23,-2.88,Overpriced
73,Michael_Gibbons,4.96,4.17,3.38,-28.35,-23.77,-29.2,Very Underpriced
74,Marc_Murphy,7.38,6.72,6.06,-5.22,8.74,15.27,Overpriced
75,Marc_Pittonet,6.98,6.29,5.6,9.01,-15.91,-10.53,Fair Value
76,Lachie_Plowman,5.41,4.64,3.87,37.69,-11.95,5.94,Fair Value
77,Sam_Petrevski-Seton,5.43,4.66,3.89,-12.08,-18.1,5.43,Underpriced
78,Matthew_Cottrell,4.87,4.07,3.27,1.24,-28.35,-12.47,Underpriced
79,Harry_McKay,8.58,7.98,7.38,-10.34,-14.29,-27.19,Underpriced
80,Liam_Stocker,5.5,4.74,3.98,-0.63,4.41,17.62,Overpriced
81,Eddie_Betts,6.03,5.3,4.57,13.25,-24.29,51.0,Fair Value
82,Will_Setterfield,8.0,7.37,6.74,14.09,40.92,5.44,Very Overpriced
83,Nic_Newman,7.04,6.36,5.68,4.61,6.71,-35.82,Underpriced
84,Paddy_Dow,6.32,5.6,4.88,33.65,19.15,54.27,Very Overpriced
85,Jack_Silvagni,4.61,3.8,2.99,-17.57,26.67,-14.8,Fair Value
86,Levi_Casboult,4.84,4.04,3.24,-8.8,-19.04,-7.97,Fair Value
87,Matthew_Owies,6.68,5.98,5.28,10.74,43.75,-0.33,Inconclusive
88,Matthew_Kennedy,8.13,7.51,6.89,12.93,29.71,72.25,Very Overpriced
89,Zac_Fisher,6.2,5.47,4.74,15.64,7.25,-6.97,Fair Value
90,Jack_Martin,6.06,5.33,4.6,5.34,23.38,11.04,Fair Value
91,David_Cuningham,7.35,6.68,6.01,-4.02,89.24,30.47,Very Overpriced
92,Luke_Parks,3.15,2.26,1.37,-15.36,-59.79,-62.33,Inconclusive
93,Tom_De Koning,5.17,4.39,3.61,-16.38,17.38,29.12,Fair Value
94,Mitch_McGovern,5.55,4.79,4.03,-1.64,132.52,9.61,Very Overpriced
95,Tom_Williamson,4.52,3.71,2.9,13.11,-3.89,9.44,Fair Value
96,Oscar_McDonald,4.82,4.02,3.22,42.05,-9.66,-3.37,Fair Value
97,Lochie_OBrien,5.44,4.67,3.9,11.46,2.19,-12.87,Fair Value
